,Avg_Monthly,Daily_Avg,Peak_Hour
MANGGARAI,95942.0,3198.0666666666666,479.71
RAWAMANGUN,68223.0,2274.1,341.11499999999995
GALUNGGUNG,63765.416666666664,2125.5138888888887,318.8270833333333
PEMUDA RW.MANGUN,52317.5,1743.9166666666667,261.5875
PASAR GENJING,29956.75,998.5583333333333,149.78375
KAYU JATI,28458.916666666668,948.6305555555556,142.29458333333332
PASAR RUMPUT,26982.0,899.4,134.91
FLYOVER PRAMUKA,25638.416666666668,854.6138888888889,128.19208333333333
HALIMUN,22469.916666666668,748.9972222222223,112.34958333333334
TERMINAL PULOGADUNG,19199.333333333332,639.9777777777778,95.99666666666666
