,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
KAMPUNG RAMBUTAN,74251,69927,74595,76888,74536,74449,83586,78853,81711,90148,82297,80242,78456.91666666667,90148,2615.230555555556,392.2845833333334
TANAH MERDEKA,63421,55403,61471,55565,57009,56432,61401,57146,58622,66240,59263,58005,59164.833333333336,66240,1972.1611111111113,295.82416666666666
FLYOVER RAYA BOGOR,65769,58684,61713,61374,78333,81248,86530,84523,83679,92797,84335,86980,77163.75,92797,2572.125,385.81874999999997
TRIKORA,38713,32450,36518,31796,32642,32199,34242,30952,32518,38317,33669,34128,34012.0,38713,1133.7333333333333,170.06
PASAR INDUK,20674,19491,20945,18816,22271,21365,23412,23952,23439,25503,23271,23130,22189.083333333332,25503,739.6361111111111,110.94541666666666
KRAMAT JATI,23214,21532,23791,22508,25109,24648,26969,26265,25979,28247,26353,28210,25235.416666666668,28247,841.1805555555555,126.17708333333333
CILILITAN,101683,91531,96604,96604,102588,103074,111570,106700,107152,121176,109284,115107,105256.08333333333,121176,3508.536111111111,526.2804166666666
CAWANG CILILITAN,63516,56048,57272,55051,59592,56419,58465,56364,54576,65111,57833,59159,58283.833333333336,65111,1942.7944444444445,291.4191666666667
CAWANG SENTRAL,99777,94822,107981,100188,115597,116631,125355,125892,140119,158153,150260,144197,123247.66666666667,158153,4108.2555555555555,616.2383333333333
CAWANG,76937,115814,128735,120762,140449,138859,154625,147010,141133,149154,136043,143068,132715.75,154625,4423.858333333334,663.57875
CAWANG BARU,23533,21603,22733,19186,22519,22405,25382,25140,23655,25727,22958,23092,23161.083333333332,25727,772.036111111111,115.80541666666664
GELANGGANG REMAJA,20338,19164,19611,16770,21112,18958,22140,23317,22827,26118,23708,23621,21473.666666666668,26118,715.7888888888889,107.36833333333333
BIDARA CINA,21802,21409,20697,17143,23625,22417,23081,23379,24261,25285,23591,24662,22612.666666666668,25285,753.7555555555556,113.06333333333333
TANAH MERDEKA 2,281,194,272,235,241,428,300,241,251,325,310,293,280.9166666666667,428,9.363888888888889,1.4045833333333333
