,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
SUNTER KELAPA GADING,93909,88216,94027,92704,100738,99605,103957,100338,100540,110357,100913,102093,98949.75,110357,3298.325,494.74875
SIMPANG CAWANG,16008,13879,14200,11840,14587,13991,16013,15743,14397,15735,14085,13803,14523.416666666666,16013,484.1138888888889,72.61708333333333
HALIM,21475,19625,20484,15545,17847,17415,19173,18826,18434,20098,18056,17664,18720.166666666668,21475,624.0055555555556,93.60083333333334
KEBON NANAS,18330,13685,17347,14944,19409,19004,20903,18807,19224,22951,20807,19516,18743.916666666668,22951,624.7972222222222,93.71958333333333
PEDATI PRUMPUNG,18732,17165,17801,15931,17787,17583,21089,21993,21226,23443,21630,21596,19664.666666666668,23443,655.4888888888889,98.32333333333334
PISANGAN,27496,24490,25486,21602,26592,25844,28790,29139,28645,30118,27616,27111,26910.75,30118,897.025,134.55374999999998
UTAN KAYU RAWAMANGUN,25186,29061,28784,24544,31750,29315,30890,36154,38632,38884,33642,33660,31708.5,38884,1056.95,158.5425
KAYU PUTIH RAWASARI,50968,43611,45919,40675,47704,46630,51687,52666,54207,59487,54439,54300,50191.083333333336,59487,1673.0361111111113,250.95541666666668
PULOMAS BYPASS,26853,23698,25702,21194,27520,25795,29394,28199,29970,35084,32899,30148,28038.0,35084,934.6,140.19
CEMPAKA PUTIH,13565,12793,13283,11221,14023,13585,15237,15398,16021,18228,16258,15461,14589.416666666666,18228,486.31388888888887,72.94708333333332
KODAMAR,35510,31864,31380,27009,33434,31216,36472,36418,35055,38632,35956,33304,33854.166666666664,38632,1128.4722222222222,169.27083333333331
PLUMPANG,92611,88883,94884,75623,88901,84618,98086,101105,94638,105320,98733,97240,93386.83333333333,105320,3112.894444444444,466.9341666666666
"WALIKOTA JAKARTA UTARA ARAH 
CILILITAN",57615,52780,54394,49665,55957,55188,59942,58001,58126,64322,59302,60345,57136.416666666664,64322,1904.5472222222222,285.6820833333333
"WALIKOTA JAKARTA UTARA ARAH 
TJ.PRIUK",9134,8209,8287,6991,8740,8704,10227,10373,9773,11210,9839,9820,9275.583333333334,11210,309.18611111111113,46.37791666666667
KOJA,804,677,668,619,679,754,905,935,880,1050,964,976,825.9166666666666,1050,27.530555555555555,4.129583333333333
MAMBO,45572,41299,44503,40518,46167,44344,47083,45047,45736,50422,45979,47177,45320.583333333336,50422,1510.6861111111111,226.60291666666666
TERMINAL TJ.PRIUK,36048,32752,34573,31121,34106,33964,37424,36125,35612,38302,35335,36663,35168.75,38302,1172.2916666666667,175.84375
PGC,87758,79863,81708,83766,88315,90345,96923,93331,93018,105006,97496,100168,91474.75,105006,3049.1583333333333,457.37375
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
PULO GEBANG,22874,20688,21075,23672,21781,22099,23649,21733,22162,23485,21528,23818,22380.333333333332,23818,746.0111111111111,111.90166666666666
WALIKOTA JAKARTA TIMUR,39091,35120,36254,33776,36250,34006,37816,35383,35564,39010,36708,36169,36262.25,39091,1208.7416666666666,181.31124999999997
PENGGILINGAN,12717,11469,11519,10868,11950,11550,12810,12852,12714,14417,13173,13272,12442.583333333334,14417,414.7527777777778,62.212916666666665
FLYOVER PONDOK KOPI,31003,28080,28564,28017,30103,28844,32568,30584,30234,33576,30293,30502,30197.333333333332,33576,1006.5777777777778,150.98666666666665
SIMPANG BUARAN,22799,21141,21710,20309,23289,22866,26013,24764,24095,26722,24324,24346,23531.5,26722,784.3833333333333,117.6575
BUARAN,4396,3822,3940,3492,4022,3908,4337,4199,6342,11792,10554,11749,6046.083333333333,11792,201.5361111111111,30.230416666666663
KAMPUNG SUMUR,8052,7482,7662,7055,7882,8057,9035,8908,8682,9230,8460,8793,8274.833333333334,9230,275.8277777777778,41.37416666666667
KLENDER,10892,10299,10153,9683,8905,8456,10533,10269,9878,11287,10108,10734,10099.75,11287,336.65833333333336,50.49875
STASIUN KLENDER,11948,11246,11713,10706,12150,11985,14344,13666,12959,14370,13125,13648,12655.0,14370,421.8333333333333,63.27499999999999
CIPINANG,7203,6733,6913,6650,7520,7457,8357,8198,8008,8896,8468,8379,7731.833333333333,8896,257.72777777777776,38.659166666666664
FLYOVER CIPINANG,9928,8766,8273,7603,8767,8863,11229,11404,10222,10925,10082,9798,9655.0,11404,321.8333333333333,48.275
PASAR ENJO,3552,3119,3139,2830,3484,3295,3446,3459,3367,3600,3294,3449,3336.1666666666665,3600,111.20555555555555,16.680833333333332
FLYOVER JATINEGARA,31323,28545,29137,24700,29909,28564,32895,33309,33426,36831,33674,33145,31288.166666666668,36831,1042.9388888888889,156.44083333333333
STASIUN JATINEGARA,28452,25831,28338,26592,28601,29473,32231,31669,31378,34461,32602,34286,30326.166666666668,34461,1010.8722222222223,151.63083333333333
JATINEGARA,12129,10691,12044,10639,12143,11895,14362,13523,12605,13670,12851,13648,12516.666666666666,14362,417.22222222222223,62.58333333333333
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
PLUIT SELATAN,36389.0,32662.0,35487,29998,35484,34770,38017,37150,36920,38788.0,36541.0,37427.0,35802.75,38788.0,1193.425,179.01375
PAKIN,25764.0,24063.0,25223,21472,25891,25175,28759,27938,26882,28772.0,27614.0,28269.0,26318.5,28772.0,877.2833333333333,131.5925
GEDONG PANJANG,16466.0,15721.0,16078,14369,16268,15463,16417,13094,10859,11784.0,11547.0,11326.0,14116.0,16466.0,470.53333333333336,70.58
MUSEUM SEJARAH JAKARTA,10108.0,9067.0,9806,8350,10162,10346,11300,11347,11307,12209.0,11209.0,10764.0,10497.916666666666,12209.0,349.93055555555554,52.48958333333333
BANDENGAN,23396.0,23822.0,21964,19503,24151,23694,26730,26984,26062,29169.0,27389.0,27029.0,24991.083333333332,29169.0,833.036111111111,124.95541666666665
KALI BESAR,26324.0,22043.0,23203,20018,24867,24605,26943,26280,25816,27878.0,27030.0,28945.0,25329.333333333332,28945.0,844.311111111111,126.64666666666665
MANGGA DUA RAYA,11850.0,10462.0,11024,8995,11399,10962,12608,12257,11791,12829.0,11782.0,12044.0,11500.25,12829.0,383.34166666666664,57.50124999999999
MANGGA DUA,36440.0,31853.0,27144,32899,35386,43496,39963,34564,32965,32610.0,30478.0,39282.0,34756.666666666664,43496.0,1158.5555555555554,173.7833333333333
LANDASAN PACU,10121.0,8928.0,9966,8654,10860,10704,11805,11908,11747,12803.0,11920.0,11750.0,10930.5,12803.0,364.35,54.6525
DANAU AGUNG,34098.0,28184.0,25361,26927,29986,32177,32190,30325,29106,31008.0,28040.0,32698.0,30008.333333333332,34098.0,1000.2777777777777,150.04166666666666
SUNTER UTARA,10670.0,10071.0,10169,8916,10900,10701,11741,11578,10779,11541.0,10551.0,10760.0,10698.083333333334,11741.0,356.6027777777778,53.49041666666667
