,Avg_Monthly,Daily_Avg,Peak_Hour
WALIKOTA JAKARTA TIMUR,36262.25,1208.7416666666666,181.31124999999997
FLYOVER JATINEGARA,31288.166666666668,1042.9388888888889,156.44083333333333
STASIUN JATINEGARA,30326.166666666668,1010.8722222222223,151.63083333333333
FLYOVER PONDOK KOPI,30197.333333333332,1006.5777777777778,150.98666666666665
SIMPANG BUARAN,23531.5,784.3833333333333,117.6575
PULO GEBANG,22380.333333333332,746.0111111111111,111.90166666666666
STASIUN KLENDER,12655.0,421.8333333333333,63.27499999999999
JATINEGARA,12516.666666666666,417.22222222222223,62.58333333333333
PENGGILINGAN,12442.583333333334,414.7527777777778,62.212916666666665
KLENDER,10099.75,336.65833333333336,50.49875
