,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
PINANG RANTI,173942,156242,160519,152083,172738,170531,184415,180137,179623,198444,174685,168748,172675.58333333334,198444,5755.852777777778,863.3779166666667
MAKASAR,70894,65937,66741,61075,70930,68535,72974,72924,70939,77578,71240,72280,70170.58333333333,77578,2339.019444444444,350.8529166666666
CILIWUNG P.RANTI,12959,11438,11859,10544,13216,12900,15095,15618,14940,16528,15355,15540,13832.666666666666,16528,461.08888888888885,69.16333333333333
CILIWUNG ARAH PLUIT,9140,7367,7050,6301,7437,7361,8912,9159,9144,10266,9961,9248,8445.5,10266,281.51666666666665,42.2275
CIKOKO ARAH P.RANTI,110004,104127,111011,99348,120845,121763,138906,137195,122032,134167,124389,126530,120859.75,138906,4028.6583333333333,604.2987499999999
CIKOKO ARAH PLUIT,60757,54625,58298,58722,70377,70666,82608,86870,101240,117192,114394,112759,82375.66666666667,117192,2745.855555555556,411.8783333333334
TEBET ECO PARK ARAH P.RANTI,16651,14846,14629,13309,17347,17528,19917,19939,19537,22124,20366,20780,18081.083333333332,22124,602.7027777777778,90.40541666666667
TEBET ECO PARK ARAH PLUIT,15199,13001,13092,12291,14854,15110,17595,17491,17154,19137,17540,17484,15829.0,19137,527.6333333333333,79.145
PANCORAN TUGU,40749,35586,37437,32059,37708,34782,40362,39473,37714,41632,38976,37459,37828.083333333336,41632,1260.9361111111111,189.14041666666665
PANCORAN ARAH P.RANTI,26909,21316,24186,14653,44108,58112,83470,80470,77047,93690,85929,89639,58294.083333333336,93690,1943.1361111111112,291.47041666666667
PANCORAN ARAH PLUIT,1280,4265,4178,3681,15960,21387,30005,29815,27977,33231,30655,30719,19429.416666666668,33231,647.6472222222222,97.14708333333333
TEGAL PARANG ARAH P.RANTI,18258,16109,17150,14514,16031,14849,16671,16090,15009,16973,15373,15505,16044.333333333334,18258,534.8111111111111,80.22166666666666
TEGAL PARANG ARAH PLUIT,33748,29468,31289,26789,27262,25338,28835,27997,25418,27491,24388,23659,27640.166666666668,33748,921.338888888889,138.20083333333335
SIMPANG KUNINGAN,36892,32852,33927,29310,36038,35791,43276,40358,36569,40693,36258,35056,36418.333333333336,43276,1213.9444444444446,182.09166666666667
DENPASAR ARAH P.RANTI,43535,43361,48713,35247,43619,45385,46585,63373,61746,70578,65855,63442,52619.916666666664,70578,1753.997222222222,263.09958333333327
DENPASAR ARAH PLUIT,80642,57853,57021,46293,48694,40522,32921,70185,70798,87869,79534,74701,62252.75,87869,2075.0916666666667,311.26375
"WIDYA CANDRA ARAH 
P.RANTI",42186,36736,36097,33136,40952,39161,47164,37838,35517,41818,37335,35705,38637.083333333336,47164,1287.9027777777778,193.18541666666667
"WIDYA CANDRA ARAH 
PLUIT",50104,44716,43239,39062,48805,47548,57854,50585,47437,55684,46777,47125,48244.666666666664,57854,1608.1555555555556,241.22333333333333
SEMANGGI,48521,43590,33000,35708,46107,44931,48467,49980,50703,58233,53833,56003,47423.0,58233,1580.7666666666667,237.11499999999998
SENAYAN ARAH P.RANTI,19584,15812,15440,13760,17997,23874,20849,21222,22311,19508,21257,21662,19439.666666666668,23874,647.9888888888889,97.19833333333334
SENAYAN ARAH PLUIT,24303,24256,22750,17437,22366,29312,26401,29397,26712,23203,26100,26836,24922.75,29397,830.7583333333333,124.61375
PERTAMBURAN,96276,101712,112557,117410,143216,145816,166427,160253,157779,175720,167082,168763,142750.91666666666,175720,4758.363888888888,713.7545833333332
"KEMANGGISAN ARAH 
P.RANTI",36428,31667,32554,27021,31877,30638,35986,37954,43511,53093,45742,43768,37519.916666666664,53093,1250.6638888888888,187.5995833333333
"KEMANGGISAN ARAH 
PLUIT",63448,49915,50654,46593,57827,59707,67540,65895,65148,72576,64506,60393,60350.166666666664,72576,2011.6722222222222,301.75083333333333
"KOTA BAMBU ARAH 
P.RANTI",32278,28518,29466,24048,28049,27300,32029,30611,28883,31663,30030,30277,29429.333333333332,32278,980.9777777777778,147.14666666666665
KOTA BAMBU ARAH PLUIT,41861,36094,36432,37111,46608,46217,55408,53315,50827,55666,53374,51832,47062.083333333336,55666,1568.736111111111,235.31041666666664
"KALI GROGOL ARAH 
P.RANTI",53344,47156,49948,42411,49881,51499,51732,51590,46888,54182,49498,49439,49797.333333333336,54182,1659.9111111111113,248.98666666666668
KALI GROGOL ARAH PLUIT,13736,12578,13333,10396,10727,9796,11082,10493,11011,10833,9580,10039,11133.666666666666,13736,371.1222222222222,55.66833333333333
JEMBATAN BESI,51121,46074,48758,44745,52857,52370,57770,56905,55194,59493,56378,60586,53520.916666666664,60586,1784.0305555555556,267.6045833333333
JEMBATAN DUA,24982,22766,23780,20883,25476,25285,27410,27605,26260,28226,25805,26336,25401.166666666668,28226,846.7055555555556,127.00583333333334
JEMBATAN TIGA,14835,12899,13333,10725,13984,13954,15828,16121,14412,16066,15080,14868,14342.083333333334,16121,478.06944444444446,71.71041666666666
PENJARINGAN,94882,86470,91081,80645,97504,95582,106138,104482,103026,111925,104521,105627,98490.25,111925,3283.008333333333,492.45124999999996
PLUIT,59445,54223,56804,50643,61847,60373,68132,69676,65226,70981,65371,63080,62150.083333333336,70981,2071.6694444444447,310.7504166666667
